"dataset_id","scientific_name","common_name","site_name","colony_name","lat_colony","lon_colony","device","bird_id","track_id","original_track_id","age","sex","breed_stage","breed_status","date_gmt","time_gmt","latitude","longitude","argos_quality","equinox"
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-07-19,"14:42:57",-34.1735,-53.67352,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-07-20,"02:45:35",-34.242,-53.74955,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-05-09,"14:32:06",-34.31008,-53.19583,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-05-18,"14:27:59",-34.59534,-53.2113,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-07-08,"02:35:49",-34.6275,-52.78185,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-08-15,"14:43:34",-34.67057,-52.62635,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-08-31,"11:33:01",-34.2625,-53.0475,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-06-01,"02:37:29",-35.78174,-55.2442,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-06-03,"14:39:52",-35.2925,-55.48,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-06-04,"02:36:48",-35.31455,-55.45742,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-06-04,"14:38:34",-35.33675,-55.43468,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-06-05,"02:43:35",-35.35904,-55.41185,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-06-05,"14:45:34",-35.38125,-55.3891,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-06-06,"02:44:39",-35.40336,-55.36645,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-06-06,"14:43:34",-35.42547,-55.34381,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-06-07,"02:44:49",-35.44765,-55.32109,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-06-07,"14:45:57",-35.46983,-55.29838,NA,NA
