"sp_files","n_used","eezs_used","eezs_sovereigns_used"
"Calonectris diomedea_Tunisia.tif",55,"Tunisia_Malta_Libya_Italy_Vatican City_Algeria_Croatia_Monaco_Ceuta_Perejil Island_Gibraltar_Montenegro_Albania_Melilla_France_Spain_San Marino_Democratic Republic of the Congo_Greece_Republic of the Congo_Morocco_Canary Islands_Angola_Western Sahara_Gabon_Madeira_Azores_Guinea-Bissau_Jersey_Portugal_Equatorial Guinea_Ghana_Guinea_Mauritania_Ivory Coast_France_Sierra Leone_Senegal_Gambia_Senegal_Liberia_Benin_Sao Tome and Principe_Ireland_Guernsey_NA_Togo_Cape Verde_United Kingdom_Canada_Namibia_Ascension_Saint-Pierre and Miquelon_Brazil_Iceland","Tunisia_Malta_Libya_Italy_Vatican City_Algeria_Croatia_Monaco_Spain_Spain_United Kingdom_Montenegro_Albania_Spain_France_Spain_San Marino_Democratic Republic of the Congo_Greece_Republic of the Congo_Morocco_Spain_Angola_Western Sahara_Gabon_Portugal_Portugal_Guinea-Bissau_United Kingdom_Portugal_Equatorial Guinea_Ghana_Guinea_Mauritania_Ivory Coast_France_Sierra Leone_Senegal_Gambia_Senegal_Liberia_Benin_Sao Tome and Principe_Ireland_United Kingdom_NA_Togo_Cape Verde_United Kingdom_Canada_Namibia_United Kingdom_France_Brazil_Iceland"
"Calonectris edwardsii_Cape Verde.tif",18,"Uruguay_Uruguay_Brazil_Cape Verde_Argentina_Guinea-Bissau_Canary Islands_Trindade_Senegal_Senegal_Guinea_Gambia_Western Sahara_Madeira_Mauritania_Azores_NA_Sierra Leone","Uruguay_Uruguay_Brazil_Cape Verde_Argentina_Guinea-Bissau_Spain_Brazil_Senegal_Senegal_Guinea_Gambia_Western Sahara_Portugal_Mauritania_Portugal_NA_Sierra Leone"
"Calonectris leucomelas_Japan.tif",21,"Japan_Kuril Islands_Brunei_Senkaku Islands_Palau_Taiwan_South Korea_Malaysia_Micronesia_China_China_NA_Philippines_Indonesia_Guam_Vietnam_Northern Mariana Islands_Papua New Guinea_Papua New Guinea_Russia_Australia","Japan_Japan_Brunei_Taiwan_Palau_Taiwan_South Korea_Malaysia_Micronesia_China_China_NA_Philippines_Indonesia_United States_Vietnam_United States_Papua New Guinea_Papua New Guinea_Russia_Australia"
"Calonectris leucomelas_South Korea.tif",21,"Singapore_Brunei_Malaysia_China_South Korea_Vietnam_South Korea_Philippines_North Korea_Indonesia_Senkaku Islands_Taiwan_China_Japan_East Timor_Thailand_Cambodia_Australia_Papua New Guinea_Papua New Guinea_NA","Singapore_Brunei_Malaysia_China_South Korea_Vietnam_South Korea_Philippines_North Korea_Indonesia_Taiwan_Taiwan_China_Japan_East Timor_Thailand_Cambodia_Australia_Papua New Guinea_Papua New Guinea_NA"
"Daption capense_Antarctica.tif",5,"New Zealand_Australia_Macquarie Island_NA_Antarctica","New Zealand_Australia_Australia_NA_Antarctica"
"Fulmarus glacialis_Canada.tif",5,"Ireland_Greenland_Canada_NA_United Kingdom","Ireland_Denmark_Canada_NA_United Kingdom"
"Fulmarus glacialis_Denmark.tif",21,"Faeroe_United Kingdom_Denmark_Faeroe_United Kingdom_Norway_Iceland_Ireland_Iceland_Jan Mayen_Germany_Svalbard_Netherlands_Russia_Greenland_Sweden_NA_Guernsey_Canada_Azores_Jersey","Denmark_United Kingdom_Denmark_Denmark_United Kingdom_Norway_Iceland_Ireland_Iceland_Norway_Germany_Norway_Netherlands_Russia_Denmark_Sweden_NA_United Kingdom_Canada_Portugal_United Kingdom"
"Fulmarus glacialis_Iceland.tif",15,"Iceland_Iceland_Faeroe_Jan Mayen_Faeroe_Greenland_Norway_Svalbard_United Kingdom_United Kingdom_Canada_Russia_NA_United States_Ireland","Iceland_Iceland_Denmark_Norway_Denmark_Denmark_Norway_Norway_United Kingdom_United Kingdom_Canada_Russia_NA_United States_Ireland"
"Fulmarus glacialis_Norway.tif",22,"Denmark_Norway_Jan Mayen_Iceland_Svalbard_Germany_Netherlands_Russia_Faeroe_Iceland_Greenland_United Kingdom_United Kingdom_Faeroe_Sweden_Ireland_Poland_Finland_Canada_NA_France_Estonia","Denmark_Norway_Norway_Iceland_Norway_Germany_Netherlands_Russia_Denmark_Iceland_Denmark_United Kingdom_United Kingdom_Denmark_Sweden_Ireland_Poland_Finland_Canada_NA_France_Estonia"
"Fulmarus glacialis_UK.tif",22,"Jersey_Denmark_Netherlands_United Kingdom_United Kingdom_Germany_Faeroe_Norway_France_Guernsey_Ireland_Faeroe_Svalbard_Jan Mayen_Iceland_Iceland_Sweden_Russia_Greenland_NA_Azores_Canada","United Kingdom_Denmark_Netherlands_United Kingdom_United Kingdom_Germany_Denmark_Norway_France_United Kingdom_Ireland_Denmark_Norway_Norway_Iceland_Iceland_Sweden_Russia_Denmark_NA_Portugal_Canada"
