species,population,month,sp_pop,sp_pop_month,exposure_score
Ardenna tenuirostris,SE Australia,3,Ardenna tenuirostris_SE Australia,Ardenna tenuirostris_SE Australia_03,0.5266
Ardenna tenuirostris,SE Australia,4,Ardenna tenuirostris_SE Australia,Ardenna tenuirostris_SE Australia_04,5.9619
Ardenna tenuirostris,SE Australia,5,Ardenna tenuirostris_SE Australia,Ardenna tenuirostris_SE Australia_05,9.2078
Ardenna tenuirostris,SE Australia,6,Ardenna tenuirostris_SE Australia,Ardenna tenuirostris_SE Australia_06,6.1515
Ardenna tenuirostris,SE Australia,7,Ardenna tenuirostris_SE Australia,Ardenna tenuirostris_SE Australia_07,6.1752
Ardenna tenuirostris,SE Australia,8,Ardenna tenuirostris_SE Australia,Ardenna tenuirostris_SE Australia_08,6.4031
Ardenna tenuirostris,SE Australia,9,Ardenna tenuirostris_SE Australia,Ardenna tenuirostris_SE Australia_09,3.0124
Ardenna tenuirostris,SE Australia,10,Ardenna tenuirostris_SE Australia,Ardenna tenuirostris_SE Australia_10,4.4315
Ardenna tenuirostris,SE Australia,11,Ardenna tenuirostris_SE Australia,Ardenna tenuirostris_SE Australia_11,1.0493
Ardenna tenuirostris,SE Australia,12,Ardenna tenuirostris_SE Australia,Ardenna tenuirostris_SE Australia_12,1.245
Bulweria bulwerii,Azores,1,Bulweria bulwerii_Azores,Bulweria bulwerii_Azores_01,49.5195
Bulweria bulwerii,Azores,2,Bulweria bulwerii_Azores,Bulweria bulwerii_Azores_02,47.2961
Bulweria bulwerii,Azores,4,Bulweria bulwerii_Azores,Bulweria bulwerii_Azores_04,1.2367
Bulweria bulwerii,Azores,5,Bulweria bulwerii_Azores,Bulweria bulwerii_Azores_05,11.1977
Bulweria bulwerii,Azores,6,Bulweria bulwerii_Azores,Bulweria bulwerii_Azores_06,11.1339
Bulweria bulwerii,Azores,7,Bulweria bulwerii_Azores,Bulweria bulwerii_Azores_07,8.7508
Bulweria bulwerii,Azores,8,Bulweria bulwerii_Azores,Bulweria bulwerii_Azores_08,10.3286
Bulweria bulwerii,Azores,9,Bulweria bulwerii_Azores,Bulweria bulwerii_Azores_09,11.3238
Bulweria bulwerii,Azores,10,Bulweria bulwerii_Azores,Bulweria bulwerii_Azores_10,1.5892
