"species","breeding_country","group_1","Percent_1","group_2","Percent_2","group_3","Percent_3","group_4","Percent_4","group_5","Percent_5","group_6","Percent_6","group_7","Percent_7"
"Ardenna pacifica","Mauritius","High Seas",46.5604916077637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ardenna pacifica","Mauritius",NA,NA,"Republic of Mauritius",29.7607007951739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ardenna pacifica","Mauritius",NA,NA,NA,NA,"France",13.7244916610843,NA,NA,NA,NA,NA,NA,NA,NA
"Ardenna pacifica","Mauritius",NA,NA,NA,NA,NA,NA,"France/Madagascar/Republic of Mauritius",6.22252122722461,"12",3.73179470875352,NA,NA,NA,NA
"Procellaria aequinoctialis","France","High Seas",78.6992361798475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Procellaria aequinoctialis","France",NA,NA,"South Africa",13.6113405705677,"28",7.68942324958486,NA,NA,NA,NA,NA,NA,NA,NA
"Pterodroma cahow","UK","High Seas",59.4266732622255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pterodroma cahow","UK",NA,NA,"United Kingdom",25.7755510609797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pterodroma cahow","UK",NA,NA,NA,NA,"United States",7.13549667661395,"17",7.6622790001809,NA,NA,NA,NA,NA,NA
"Pterodroma inexpectata","New Zealand","High Seas",93.8577535680066,"33",6.1422464319934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calonectris borealis","Portugal","High Seas",65.4382543261346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calonectris borealis","Portugal",NA,NA,"Portugal",15.3934159828973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calonectris borealis","Portugal",NA,NA,NA,NA,"South Africa",7.14556452566308,"69",12.0227651653051,NA,NA,NA,NA,NA,NA
"Pterodroma hasitata","Dominican Republic","United States",30.1710106815457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pterodroma hasitata","Dominican Republic",NA,NA,"Bahamas",29.8944565579041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pterodroma hasitata","Dominican Republic",NA,NA,NA,NA,"High Seas",26.1773251783431,"28",13.7572075822071,NA,NA,NA,NA,NA,NA
"Pterodroma deserta","Portugal","High Seas",70.4815145901469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pterodroma deserta","Portugal",NA,NA,"Portugal",7.12605055519703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pterodroma deserta","Portugal",NA,NA,NA,NA,"Brazil",6.36420376530724,NA,NA,NA,NA,NA,NA,NA,NA
"Pterodroma deserta","Portugal",NA,NA,NA,NA,NA,NA,"Portugal",6.2943159638568,"33",9.73391512549205,NA,NA,NA,NA
"Bulweria bulwerii","Portugal","High Seas",75.4198123260548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulweria bulwerii","Portugal",NA,NA,"Portugal",11.3103429083188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulweria bulwerii","Portugal",NA,NA,NA,NA,"Portugal",5.43769308598231,"22",7.83215167964409,NA,NA,NA,NA,NA,NA
"Pachyptila macgillivrayi","UK","High Seas",69.2448469286962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pachyptila macgillivrayi","UK",NA,NA,"United Kingdom",30.7401590381117,"4",0.0149940331920197,NA,NA,NA,NA,NA,NA,NA,NA
"Pachyptila turtur","Australia","Australia",97.8257604577464,"1",2.17423954225363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Procellaria aequinoctialis","South Africa","South Africa",58.0890070661171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Procellaria aequinoctialis","South Africa",NA,NA,"High Seas",41.0002457834082,"6",0.910747150474688,NA,NA,NA,NA,NA,NA,NA,NA
"Hydrobates castro","UK","High Seas",91.3281708749727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hydrobates castro","UK",NA,NA,"United Kingdom",8.67182912502729,"0",0,NA,NA,NA,NA,NA,NA,NA,NA
"Ardenna pacifica","Australia","Australia",63.9821106537365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ardenna pacifica","Australia",NA,NA,"High Seas",21.7698879663837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ardenna pacifica","Australia",NA,NA,NA,NA,"Indonesia",12.1105210966012,"8",2.13748028327856,NA,NA,NA,NA,NA,NA
"Pachyptila desolata","France","High Seas",94.1498372342037,"10",5.85016276579634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
