"species","breeding_country","group_1","Percent_1","group_2","Percent_2","group_3","Percent_3","group_4","Percent_4","group_5","Percent_5","group_6","Percent_6","group_7","Percent_7"
"Pelecanoides urinatrix","New Zealand","New Zealand",97.0600253352782,"1",2.93997466472183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pachyptila desolata","UK","High Seas",95.0627420544331,"8",4.93725794556687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ardenna pacifica","Seychelles","High Seas",53.209485775956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ardenna pacifica","Seychelles",NA,NA,"Seychelles",12.8792794266513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ardenna pacifica","Seychelles",NA,NA,NA,NA,"Republic of Mauritius",11.3823322473808,"19",22.5289025500119,NA,NA,NA,NA,NA,NA
"Puffinus puffinus","Iceland","Argentina",44.8812631206418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Puffinus puffinus","Iceland",NA,NA,"High Seas",27.6348527393374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Puffinus puffinus","Iceland",NA,NA,NA,NA,"Brazil",11.8849951407124,NA,NA,NA,NA,NA,NA,NA,NA
"Puffinus puffinus","Iceland",NA,NA,NA,NA,NA,NA,"Uruguay",8.24603812910007,"42",7.3528508702083,NA,NA,NA,NA
"Puffinus huttoni","New Zealand","New Zealand",99.9961667754044,"1",0.00383322459562775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Puffinus assimilis","New Zealand","New Zealand",70.942345968816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Puffinus assimilis","New Zealand",NA,NA,"High Seas",28.7604054119656,"3",0.297248619218403,NA,NA,NA,NA,NA,NA,NA,NA
"Procellaria aequinoctialis","UK","High Seas",31.8404952248863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Procellaria aequinoctialis","UK",NA,NA,"Brazil",26.7781396480963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Procellaria aequinoctialis","UK",NA,NA,NA,NA,"Argentina",21.8503203060523,NA,NA,NA,NA,NA,NA,NA,NA
"Procellaria aequinoctialis","UK",NA,NA,NA,NA,NA,NA,"Uruguay",14.4365062946344,"5",5.09453852633081,NA,NA,NA,NA
"Pterodroma leucoptera","France","High Seas",52.809910979369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pterodroma leucoptera","France",NA,NA,"Australia",31.3430050296024,"21",15.8470839910286,NA,NA,NA,NA,NA,NA,NA,NA
"Pterodroma axillaris","New Zealand","High Seas",87.4148639263757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pterodroma axillaris","New Zealand",NA,NA,"New Zealand",5.01270385906071,"12",7.57243221456359,NA,NA,NA,NA,NA,NA,NA,NA
"Hydrobates leucorhous","Canada","High Seas",70.3054205185232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hydrobates leucorhous","Canada",NA,NA,"United States",13.341910699627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hydrobates leucorhous","Canada",NA,NA,NA,NA,"Canada",10.7781041230088,"13",5.57456465884107,NA,NA,NA,NA,NA,NA
"Procellaria cinerea","France","High Seas",91.6497240811155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Procellaria cinerea","France",NA,NA,"France",6.98615937040319,"5",1.36411654848131,NA,NA,NA,NA,NA,NA,NA,NA
"Procellaria westlandica","New Zealand","New Zealand",90.8657776270182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Procellaria westlandica","New Zealand",NA,NA,"High Seas",5.95395971340442,"4",3.18026265957742,NA,NA,NA,NA,NA,NA,NA,NA
"Puffinus bailloni","Seychelles","Seychelles",46.7443367537741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Puffinus bailloni","Seychelles",NA,NA,"High Seas",27.2339080106821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Puffinus bailloni","Seychelles",NA,NA,NA,NA,"Madagascar",9.5308546720248,"19",16.4909005635189,NA,NA,NA,NA,NA,NA
"Ardenna creatopus","Chile","United States",45.9273849631304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ardenna creatopus","Chile",NA,NA,"Mexico",27.5447429437958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ardenna creatopus","Chile",NA,NA,NA,NA,"Chile",9.65537896928899,NA,NA,NA,NA,NA,NA,NA,NA
"Ardenna creatopus","Chile",NA,NA,NA,NA,NA,NA,"High Seas",6.01371563808077,"13",10.8587774857041,NA,NA,NA,NA
"Ardenna grisea","UK","High Seas",83.5615273304586,"27",16.4384726695414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pterodroma pycrofti","New Zealand","New Zealand",80.072553017272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pterodroma pycrofti","New Zealand",NA,NA,"High Seas",19.88239937526,"3",0.0450476074680202,NA,NA,NA,NA,NA,NA,NA,NA
"Pseudobulweria rostrata","France","France",61.0130848572046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pseudobulweria rostrata","France",NA,NA,"Australia",12.8427843217611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pseudobulweria rostrata","France",NA,NA,NA,NA,"High Seas",12.3104552599588,NA,NA,NA,NA,NA,NA,NA,NA
"Pseudobulweria rostrata","France",NA,NA,NA,NA,NA,NA,"Vanuatu",8.36672409410007,NA,NA,NA,NA,NA,NA
"Pseudobulweria rostrata","France",NA,NA,NA,NA,NA,NA,NA,NA,"France/Vanuatu",5.02703532520659,"3",0.439916141768757,NA,NA
"Pterodroma mollis","New Zealand","High Seas",57.2744042860908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pterodroma mollis","New Zealand",NA,NA,"New Zealand",41.6262705236674,"2",1.09932519024183,NA,NA,NA,NA,NA,NA,NA,NA
"Puffinus puffinus","Ireland","Ireland",72.2781078925833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Puffinus puffinus","Ireland",NA,NA,"United Kingdom",19.4287414441232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Puffinus puffinus","Ireland",NA,NA,NA,NA,"High Seas",7.89895002835963,"4",0.394200634933952,NA,NA,NA,NA,NA,NA
"Pachyptila turtur","New Zealand","New Zealand",97.1689101969083,"1",2.83108980309168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fulmarus glacialis","UK","United Kingdom",34.5295589545525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fulmarus glacialis","UK",NA,NA,"Norway",22.7348398542171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fulmarus glacialis","UK",NA,NA,NA,NA,"High Seas",8.75000230646042,NA,NA,NA,NA,NA,NA,NA,NA
"Fulmarus glacialis","UK",NA,NA,NA,NA,NA,NA,"Denmark",7.32422930156412,"18",26.6613695832059,NA,NA,NA,NA
"Hydrobates pelagicus","Ireland","Ireland",83.5308290453017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hydrobates pelagicus","Ireland",NA,NA,"High Seas",8.54688228222559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hydrobates pelagicus","Ireland",NA,NA,NA,NA,"United Kingdom",7.9222886724727,"0",0,NA,NA,NA,NA,NA,NA
"Procellaria aequinoctialis","New Zealand","High Seas",41.8402884618062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Procellaria aequinoctialis","New Zealand",NA,NA,"New Zealand",37.910322374719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Procellaria aequinoctialis","New Zealand",NA,NA,NA,NA,"Chile",11.5027979924128,NA,NA,NA,NA,NA,NA,NA,NA
"Procellaria aequinoctialis","New Zealand",NA,NA,NA,NA,NA,NA,"Chile",5.35135301288421,"12",3.39523815817779,NA,NA,NA,NA
"Pterodroma feae","Cape Verde","High Seas",74.4090603532855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pterodroma feae","Cape Verde",NA,NA,"Cape Verde",10.542277748936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pterodroma feae","Cape Verde",NA,NA,NA,NA,"Spain",6.91602537583657,"12",8.13263652194193,NA,NA,NA,NA,NA,NA
"Fulmarus glacialis","Norway","Norway",31.5071984956564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fulmarus glacialis","Norway",NA,NA,"Russia",25.4616555006236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fulmarus glacialis","Norway",NA,NA,NA,NA,"High Seas",14.4379788271801,NA,NA,NA,NA,NA,NA,NA,NA
"Fulmarus glacialis","Norway",NA,NA,NA,NA,NA,NA,"Norway",11.5838908547706,NA,NA,NA,NA,NA,NA
"Fulmarus glacialis","Norway",NA,NA,NA,NA,NA,NA,NA,NA,"Norway",5.4246120437412,"17",11.5846642780282,NA,NA
"Pachyptila belcheri","France","High Seas",98.1459174577398,"9",1.85408254226021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Puffinus lherminieri","Cape Verde","High Seas",74.990087881072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Puffinus lherminieri","Cape Verde",NA,NA,"Cape Verde",12.0233659058682,"12",12.9865462130598,NA,NA,NA,NA,NA,NA,NA,NA
"Hydrobates pelagicus","UK","United Kingdom",62.541780944163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hydrobates pelagicus","UK",NA,NA,"Norway",30.941057179135,"5",6.51716187670198,NA,NA,NA,NA,NA,NA,NA,NA
"Fulmarus glacialis","Denmark","High Seas",29.7420653588815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fulmarus glacialis","Denmark",NA,NA,"Norway",20.2504865386872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fulmarus glacialis","Denmark",NA,NA,NA,NA,"United Kingdom",14.9700038705416,NA,NA,NA,NA,NA,NA,NA,NA
"Fulmarus glacialis","Denmark",NA,NA,NA,NA,NA,NA,"Denmark",13.3428059318602,NA,NA,NA,NA,NA,NA
"Fulmarus glacialis","Denmark",NA,NA,NA,NA,NA,NA,NA,NA,"Iceland",5.9429209578805,"16",15.7517173421489,NA,NA
"Pterodroma lessonii","New Zealand","High Seas",78.3154505283959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pterodroma lessonii","New Zealand",NA,NA,"Australia",10.5306487727951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pterodroma lessonii","New Zealand",NA,NA,NA,NA,"New Zealand",7.97503558568828,"7",3.17886511312064,NA,NA,NA,NA,NA,NA
"Daption capense","Antarctica","New Zealand",59.0641653005572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daption capense","Antarctica",NA,NA,"Australia",24.0371971437017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daption capense","Antarctica",NA,NA,NA,NA,"High Seas",15.9813489872177,"2",0.917288568523437,NA,NA,NA,NA,NA,NA
"Bulweria bulwerii","Cape Verde","High Seas",71.0048084855918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulweria bulwerii","Cape Verde",NA,NA,"Cape Verde",21.9726777849276,"16",7.02251372948062,NA,NA,NA,NA,NA,NA,NA,NA
"Pterodroma phaeopygia","Ecuador","Ecuador",63.9364781964682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pterodroma phaeopygia","Ecuador",NA,NA,"High Seas",18.5333856449158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pterodroma phaeopygia","Ecuador",NA,NA,NA,NA,"Costa Rica",7.46534530025472,"6",10.0647908583613,NA,NA,NA,NA,NA,NA
"Fulmarus glacialis","Iceland","High Seas",36.6028248903861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fulmarus glacialis","Iceland",NA,NA,"Denmark",18.8493236703588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fulmarus glacialis","Iceland",NA,NA,NA,NA,"Iceland",17.2960343873296,NA,NA,NA,NA,NA,NA,NA,NA
"Fulmarus glacialis","Iceland",NA,NA,NA,NA,NA,NA,"Norway",8.43670089010854,"11",18.8151161618169,NA,NA,NA,NA
"Procellaria cinerea","New Zealand","New Zealand",50.5951627395141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Procellaria cinerea","New Zealand",NA,NA,"High Seas",49.2471302827656,"5",0.157706977720246,NA,NA,NA,NA,NA,NA,NA,NA
"Fulmarus glacialis","Canada","High Seas",58.1467419890678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fulmarus glacialis","Canada",NA,NA,"Canada",20.5273926880261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fulmarus glacialis","Canada",NA,NA,NA,NA,"Denmark",14.8453798588128,NA,NA,NA,NA,NA,NA,NA,NA
"Fulmarus glacialis","Canada",NA,NA,NA,NA,NA,NA,"Ireland",6.29552900838981,"1",0.184956455703457,NA,NA,NA,NA
"Pelagodroma marina","Cape Verde","Cape Verde",95.4238501179474,"6",4.57614988205265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pelecanoides whenuahouensis","New Zealand","New Zealand",74.1814621233476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pelecanoides whenuahouensis","New Zealand",NA,NA,"High Seas",24.8947578721086,"3",0.923780004543797,NA,NA,NA,NA,NA,NA,NA,NA
"Hydrobates jabejabe","Cape Verde","Cape Verde",92.9321608008985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hydrobates jabejabe","Cape Verde",NA,NA,"High Seas",6.44676155346817,"4",0.621077645633324,NA,NA,NA,NA,NA,NA,NA,NA
"Halobaena caerulea","France","High Seas",76.7793564424873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Halobaena caerulea","France",NA,NA,"France",20.7238835281147,"10",2.49676002939803,NA,NA,NA,NA,NA,NA,NA,NA
"Pachyptila belcheri","UK","High Seas",45.4955188925886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pachyptila belcheri","UK",NA,NA,"Argentina",42.1852861330466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pachyptila belcheri","UK",NA,NA,NA,NA,"United Kingdom",9.37457285849689,"6",2.94462211586791,NA,NA,NA,NA,NA,NA
"Pelecanoides georgicus","UK","High Seas",89.0841759698049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pelecanoides georgicus","UK",NA,NA,"United Kingdom",7.8515403691847,"2",3.06428366101035,NA,NA,NA,NA,NA,NA,NA,NA
"Pelecanoides garnotii","Peru","Peru",95.1836290024869,"1",4.81637099751313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pelecanoides urinatrix","UK","High Seas",68.7037062047619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pelecanoides urinatrix","UK",NA,NA,"United Kingdom",25.2722697328431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pelecanoides urinatrix","UK",NA,NA,NA,NA,"United Kingdom",5.92492451701117,"2",0.0990995453837702,NA,NA,NA,NA,NA,NA
"Halobaena caerulea","UK","High Seas",89.0555875027269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Halobaena caerulea","UK",NA,NA,"United Kingdom",7.60867108856337,"6",3.33574140870976,NA,NA,NA,NA,NA,NA,NA,NA
"Thalassoica antarctica","Antarctica","High Seas",86.558485485166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Thalassoica antarctica","Antarctica",NA,NA,"United Kingdom",6.03781582569943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Thalassoica antarctica","Antarctica",NA,NA,NA,NA,"United Kingdom",5.1476788419522,"7",2.25601984718233,NA,NA,NA,NA,NA,NA
"Oceanites oceanicus","UK","Antarctica",97.244682638019,"1",2.75531736198105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fulmarus glacialoides","Antarctica","High Seas",71.7974745745585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fulmarus glacialoides","Antarctica",NA,NA,"Antarctica",19.5398405382046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fulmarus glacialoides","Antarctica",NA,NA,NA,NA,"Australia",5.33030999842291,"7",3.33237488881393,NA,NA,NA,NA,NA,NA
"Pagodroma nivea","Antarctica","High Seas",78.0759468702422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pagodroma nivea","Antarctica",NA,NA,"Antarctica",19.1738118694034,"5",2.75024126035439,NA,NA,NA,NA,NA,NA,NA,NA
