"UNION","MRGID_EEZ","TERRITORY1","MRGID_TER1","ISO_TER1","UN_TER1","SOVEREIGN1","MRGID_SOV1","ISO_SOV1","UN_SOV1","TERRITORY2","MRGID_TER2","ISO_TER2","UN_TER2","SOVEREIGN2","MRGID_SOV2","ISO_SOV2","UN_SOV2","TERRITORY3","MRGID_TER3","ISO_TER3","UN_TER3","SOVEREIGN3","MRGID_SOV3","ISO_SOV3","UN_SOV3","POL_TYPE","Y_1","x_1","AREA_KM2","id","over","prop","sp_country","species","breeding_country"
"Azores","8361","Azores","2454",NA,NA,"Portugal","2243","PRT","620",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",38.47507,-27.97434,"962788","79",7.7883120187288e-10,0.000335296910100555,"Calonectris borealis_Portugal","Calonectris borealis","Portugal"
"France","5677","France","17","FRA","250","France","17","FRA","250",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",46.36162,0.81913,"894295","167",7.34912340468862e-10,0.00031638927197757,"Calonectris borealis_Portugal","Calonectris borealis","Portugal"
"Ireland","5681","Ireland","2114","IRL","372","Ireland","2114","IRL","372",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",52.72782,-11.234,"497290","148",3.95738913581116e-10,0.000170370722964379,"Calonectris borealis_Portugal","Calonectris borealis","Portugal"
"Western Sahara","8368","Western Sahara","8617","ESH","732","Western Sahara","8617","ESH","732","Western Sahara","8617","ESH","732","Morocco","2221","MAR","504",NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",23.98576,-15.46474,"553988","119",3.66117203651463e-10,0.000157618193549246,"Calonectris borealis_Portugal","Calonectris borealis","Portugal"
"Tristan Da Cunha","8382","Tristan da Cunha","8621","SHN","654","United Kingdom","2208","GBR","826",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",-38.7618,-11.20992,"758353","199",3.16371369095225e-10,0.000136201968086052,"Calonectris borealis_Portugal","Calonectris borealis","Portugal"
"Uruguay","8467","Uruguay","2216","URY","858","Uruguay","2216","URY","858",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",-34.15741,-54.78948,"320455","59",2.4068019650682e-10,0.000103615938880043,"Calonectris borealis_Portugal","Calonectris borealis","Portugal"
"High Seas",NA,"High Seas",NA,NA,NA,"High Seas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.22617509650087e-10,9.58397184658991e-05,"Calonectris borealis_Portugal","Calonectris borealis","Portugal"
"Brazil","8464","Brazil","2143","BRA","76","Brazil","2143","BRA","76",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",-10.86316,-49.30546,"11678267","114",1.72994518360031e-10,7.44763786183283e-05,"Calonectris borealis_Portugal","Calonectris borealis","Portugal"
"United Kingdom","5696","United Kingdom","2208","GBR","826","United Kingdom","2208","GBR","826",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",56.15339,-3.95824,"977103","58",1.11328984414502e-10,4.79285683329724e-05,"Calonectris borealis_Portugal","Calonectris borealis","Portugal"
"Jersey","21789","Jersey","4378","JEY","832","United Kingdom","2208","GBR","826",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",49.12631,-2.1881,"2402","99",4.34884480857156e-11,1.87223396201181e-05,"Calonectris borealis_Portugal","Calonectris borealis","Portugal"
"Guinea-Bissau","8471","Guinea-Bissau","8685","GNB","624","Guinea-Bissau","8685","GNB","624",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",10.92648,-16.94227,"140612","45",3.85551894230285e-11,1.65985079318806e-05,"Calonectris borealis_Portugal","Calonectris borealis","Portugal"
"Guernsey","21788","Guernsey","4377","GGY","831","United Kingdom","2208","GBR","826",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",49.63762,-2.65654,"6619","146",3.44403221219647e-11,1.48270043144052e-05,"Calonectris borealis_Portugal","Calonectris borealis","Portugal"
"Saint Helena","8380","Saint Helena","8619","SHN","654","United Kingdom","2208","GBR","826",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",-15.97278,-5.70869,"449352","56",3.24234862103621e-11,1.39587303575914e-05,"Calonectris borealis_Portugal","Calonectris borealis","Portugal"
"Mauritania","8369","Mauritania","2236","MRT","478","Mauritania","2236","MRT","478",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",19.98315,-11.40201,"1212055","47",3.10025283690366e-11,1.33469896204023e-05,"Calonectris borealis_Portugal","Calonectris borealis","Portugal"
"Cape Verde","8362","Cape Verde","2168","CPV","132","Cape Verde","2168","CPV","132",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",16.09117,-24.17066,"806027","68",1.89663124191127e-11,8.16524291122102e-06,"Calonectris borealis_Portugal","Calonectris borealis","Portugal"
"Joint regime area United Kingdom / Denmark (Faeroe Islands)","48967","United Kingdom","2208","GBR","826","United Kingdom","2208","GBR","826","Faeroe","3297","FRO","234","Denmark","2157","DNK","208",NA,"0",NA,NA,NA,"0",NA,NA,"Joint regime (EEZ)",60.03609,-7.51858,"8011","306",1.66645175616409e-11,7.17429044098138e-06,"Calonectris borealis_Portugal","Calonectris borealis","Portugal"
